日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2026-01-16,00631L,元大台灣50正2,4818,"8,017","2,040,571,991",424.20,428.75,419.00,427.35,0.00,-310,42,966
2026-01-15,00631L,元大台灣50正2,3304,"8,183","1,357,841,275",410.30,414.40,408.15,414.35,0.00,995,0,-1210
2026-01-14,00631L,元大台灣50正2,3084,"5,372","1,279,191,883",413.70,418.25,412.80,414.00,0.00,120,12,-229
2026-01-13,00631L,元大台灣50正2,4797,"7,050","1,968,147,358",414.70,415.50,404.80,410.00,0.00,-1,156,-619
2026-01-12,00631L,元大台灣50正2,2982,"5,154","1,210,360,464",406.45,407.90,402.85,406.05,0.00,-21,0,-355
2026-01-09,00631L,元大台灣50正2,5110,"8,630","2,025,625,149",396.80,403.00,388.00,399.65,0.00,661,0,-143
2026-01-08,00631L,元大台灣50正2,2945,"4,964","1,181,619,895",398.85,405.00,397.65,400.70,0.00,547,0,202
2026-01-07,00631L,元大台灣50正2,2988,"6,501","1,201,646,728",403.65,405.55,399.50,401.70,0.00,338,0,-38
2026-01-06,00631L,元大台灣50正2,3414,"6,135","1,364,266,468",393.50,404.40,393.35,404.30,0.00,447,0,159
2026-01-05,00631L,元大台灣50正2,7235,"10,945","2,843,175,209",385.60,400.35,385.60,396.20,0.00,465,465,800
2026-01-02,00631L,元大台灣50正2,3521,"6,435","1,305,732,163",365.85,375.45,364.30,375.25,0.00,528,0,829
2025-12-31,00631L,元大台灣50正2,3228,"4,713","1,168,210,893",358.35,364.00,358.30,362.90,0.00,374,0,350
2025-12-30,00631L,元大台灣50正2,2051,"4,585","734,915,670",357.60,361.25,355.60,360.35,0.00,-22,0,-140
2025-12-29,00631L,元大台灣50正2,3291,"6,019","1,183,500,750",355.80,362.50,355.80,361.15,0.00,200,0,688
2025-12-26,00631L,元大台灣50正2,3255,"5,445","1,151,594,238",353.70,355.60,351.70,354.75,0.00,277,0,1773
2025-12-24,00631L,元大台灣50正2,3485,"4,096","1,220,319,644",351.55,351.95,348.25,348.90,0.00,22,0,2107
2025-12-23,00631L,元大台灣50正2,2181,"3,949","759,662,874",348.30,349.55,347.40,348.10,0.00,-8,0,1033
2025-12-22,00631L,元大台灣50正2,5178,"5,921","1,787,637,159",344.90,347.35,342.80,346.60,0.00,-77,0,912
2025-12-19,00631L,元大台灣50正2,3869,"4,607","1,298,796,313",334.00,338.00,334.00,336.40,0.00,93,0,403
2025-12-18,00631L,元大台灣50正2,3315,"6,945","1,088,098,120",327.30,331.00,326.10,328.90,0.00,-16,0,-1096
2025-12-17,00631L,元大台灣50正2,3251,"1,664","1,081,587,400",333.05,335.15,329.15,330.80,0.00,274,0,-756
2025-12-16,00631L,元大台灣50正2,7642,"17,434","2,527,354,714",332.10,333.55,327.10,332.55,0.00,-433,0,-3531
2025-12-15,00631L,元大台灣50正2,4900,"10,215","1,658,050,780",335.90,340.90,335.60,339.55,0.00,-129,0,-1863
2025-12-12,00631L,元大台灣50正2,2181,"3,539","757,477,367",347.80,349.10,345.15,347.85,0.00,129,0,338
2025-12-11,00631L,元大台灣50正2,4815,"10,645","1,667,812,083",353.80,353.80,342.50,343.00,0.00,-403,0,274
2025-12-10,00631L,元大台灣50正2,3357,"4,152","1,174,894,748",348.25,351.60,347.35,350.85,0.00,67,0,1364
2025-12-09,00631L,元大台灣50正2,2029,"4,256","705,160,816",349.00,349.00,346.40,346.50,0.00,-104,0,-204
