日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2026-01-02,00631L,元大台灣50正2,3521,"6,435","1,305,732,163",365.85,375.45,364.30,375.25,0.00,528,0,829
2025-12-31,00631L,元大台灣50正2,3228,"4,713","1,168,210,893",358.35,364.00,358.30,362.90,0.00,374,0,350
2025-12-30,00631L,元大台灣50正2,2051,"4,585","734,915,670",357.60,361.25,355.60,360.35,0.00,-22,0,-140
2025-12-29,00631L,元大台灣50正2,3291,"6,019","1,183,500,750",355.80,362.50,355.80,361.15,0.00,200,0,688
2025-12-26,00631L,元大台灣50正2,3255,"5,445","1,151,594,238",353.70,355.60,351.70,354.75,0.00,277,0,1773
2025-12-24,00631L,元大台灣50正2,3485,"4,096","1,220,319,644",351.55,351.95,348.25,348.90,0.00,22,0,2107
2025-12-23,00631L,元大台灣50正2,2181,"3,949","759,662,874",348.30,349.55,347.40,348.10,0.00,-8,0,1033
2025-12-22,00631L,元大台灣50正2,5178,"5,921","1,787,637,159",344.90,347.35,342.80,346.60,0.00,-77,0,912
2025-12-19,00631L,元大台灣50正2,3869,"4,607","1,298,796,313",334.00,338.00,334.00,336.40,0.00,93,0,403
2025-12-18,00631L,元大台灣50正2,3315,"6,945","1,088,098,120",327.30,331.00,326.10,328.90,0.00,-16,0,-1096
2025-12-17,00631L,元大台灣50正2,3251,"1,664","1,081,587,400",333.05,335.15,329.15,330.80,0.00,274,0,-756
2025-12-16,00631L,元大台灣50正2,7642,"17,434","2,527,354,714",332.10,333.55,327.10,332.55,0.00,-433,0,-3531
2025-12-15,00631L,元大台灣50正2,4900,"10,215","1,658,050,780",335.90,340.90,335.60,339.55,0.00,-129,0,-1863
2025-12-12,00631L,元大台灣50正2,2181,"3,539","757,477,367",347.80,349.10,345.15,347.85,0.00,129,0,338
2025-12-11,00631L,元大台灣50正2,4815,"10,645","1,667,812,083",353.80,353.80,342.50,343.00,0.00,-403,0,274
2025-12-10,00631L,元大台灣50正2,3357,"4,152","1,174,894,748",348.25,351.60,347.35,350.85,0.00,67,0,1364
2025-12-09,00631L,元大台灣50正2,2029,"4,256","705,160,816",349.00,349.00,346.40,346.50,0.00,-104,0,-204
2025-12-08,00631L,元大台灣50正2,3361,"5,678","1,161,430,428",342.90,348.50,342.35,347.90,0.00,-434,0,541
2025-12-05,00631L,元大台灣50正2,2762,"4,251","935,596,771",336.70,340.65,335.80,340.65,0.00,-52,0,1162
2025-12-04,00631L,元大台灣50正2,3370,"3,651","1,131,480,131",336.65,338.00,333.45,335.90,0.00,-1061,0,1002
2025-12-03,00631L,元大台灣50正2,2588,"3,875","870,097,466",337.25,338.15,333.85,335.40,0.00,265,0,54
2025-12-02,00631L,元大台灣50正2,2646,"3,669","881,596,683",333.65,335.95,329.85,330.35,0.00,215,0,230
2025-12-01,00631L,元大台灣50正2,3856,"7,754","1,273,275,248",331.95,333.70,327.45,327.45,0.00,-844,0,-615
2025-11-28,00631L,元大台灣50正2,3125,"4,651","1,047,192,788",331.45,337.65,331.10,336.60,0.00,375,0,-71
2025-11-27,00631L,元大台灣50正2,4460,"5,515","1,475,682,663",330.80,332.55,328.50,331.75,0.00,217,0,899
