日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2026-01-16,6716,應廣,29.0,54,"1,374,092",47.30,47.30,46.70,47.10,,-1,0,0
2026-01-15,6716,應廣,16.0,19,"756,313",47.50,47.70,46.80,46.90,,0,0,0
2026-01-14,6716,應廣,44.0,53,"2,098,256",47.30,47.40,46.80,47.15,,6,0,0
2026-01-13,6716,應廣,23.0,24,"1,087,755",47.05,48.40,46.45,47.10,,-2,0,0
2026-01-12,6716,應廣,27.0,73,"1,321,233",47.05,47.80,47.05,47.40,,-2,0,0
2026-01-09,6716,應廣,37.0,36,"1,737,957",47.00,47.00,46.00,46.45,,-2,0,0
2026-01-08,6716,應廣,39.0,114,"1,843,999",46.80,48.00,45.90,45.90,,4,0,0
2026-01-07,6716,應廣,27.0,29,"1,264,391",46.00,47.00,46.00,46.55,,3,0,0
2026-01-06,6716,應廣,47.0,58,"2,172,045",44.90,47.00,44.90,46.30,,7,0,0
2026-01-05,6716,應廣,215.0,352,"9,760,016",47.00,47.00,44.70,44.85,,-15,0,0
2026-01-02,6716,應廣,29.0,39,"1,384,414",46.90,47.35,46.75,46.90,,7,0,0
2025-12-31,6716,應廣,28.0,40,"1,357,002",47.05,47.50,46.90,47.00,,5,0,0
2025-12-30,6716,應廣,21.0,18,"1,008,157",48.50,48.50,47.00,47.05,,-5,0,0
2025-12-29,6716,應廣,20.0,25,"965,524",47.60,47.60,46.75,47.00,,6,0,0
2025-12-26,6716,應廣,39.0,31,"1,843,975",47.60,47.80,46.95,47.00,,2,0,0
2025-12-24,6716,應廣,18.0,14,"856,250",47.60,47.65,47.50,47.50,,-2,0,0
2025-12-23,6716,應廣,25.0,18,"1,196,597",48.50,48.50,47.45,47.55,,-8,0,0
2025-12-22,6716,應廣,30.0,35,"1,429,777",47.15,47.80,46.95,47.40,,8,0,0
2025-12-19,6716,應廣,4.0,5,"188,543",47.00,47.00,46.90,46.95,,2,0,0
2025-12-18,6716,應廣,27.0,38,"1,275,879",47.95,47.95,46.70,46.85,,1,0,0
2025-12-17,6716,應廣,16.0,14,"759,703",47.10,47.70,47.00,47.50,,5,0,0
2025-12-16,6716,應廣,27.0,41,"1,284,248",46.75,47.35,46.40,47.00,,6,0,0
2025-12-15,6716,應廣,22.0,30,"1,050,281",47.05,47.55,46.10,46.75,,-2,0,0
2025-12-12,6716,應廣,22.0,24,"1,044,454",47.95,47.95,46.95,46.95,,-5,0,0
2025-12-11,6716,應廣,39.0,69,"1,855,479",47.15,47.85,47.05,47.05,,-5,0,0
2025-12-10,6716,應廣,53.0,98,"2,525,583",47.75,47.85,47.25,47.75,,8,0,0
2025-12-09,6716,應廣,143.0,186,"6,821,420",49.50,49.50,46.40,47.95,,18,0,0
2025-12-08,6716,應廣,19.0,60,"989,961",50.40,50.40,49.50,49.60,,5,0,0
2025-12-05,6716,應廣,21.0,25,"1,062,628",49.50,49.75,49.50,49.75,,1,0,0
2025-12-04,6716,應廣,37.0,28,"1,837,151",49.60,50.00,49.40,50.00,,-2,0,0
2025-12-03,6716,應廣,17.0,20,"868,628",50.30,50.40,49.70,49.70,,-4,0,0
2025-12-02,6716,應廣,32.0,55,"1,633,052",50.10,50.10,49.60,49.60,,-4,0,0
2025-12-01,6716,應廣,29.0,49,"1,461,100",50.90,50.90,49.70,50.10,,-10,0,0
2025-11-28,6716,應廣,79.0,75,"3,993,415",49.00,51.20,49.00,50.70,,1,0,0
2025-11-27,6716,應廣,20.0,23,"987,188",49.05,49.50,49.00,49.00,,-6,0,0
2025-11-26,6716,應廣,26.0,46,"1,282,615",48.35,49.70,48.35,48.80,,3,0,0
2025-11-25,6716,應廣,31.0,31,"1,503,112",48.20,48.70,47.95,48.25,,-6,0,0
2025-11-24,6716,應廣,47.0,61,"2,305,732",47.50,48.90,47.50,47.75,,2,0,-2
2025-11-21,6716,應廣,113.0,141,"5,465,038",48.60,48.80,47.00,47.30,,14,0,0
2025-11-20,6716,應廣,43.0,54,"2,147,283",49.10,50.00,48.60,48.60,,1,0,-3
2025-11-19,6716,應廣,72.0,108,"3,546,593",48.50,49.80,48.10,48.45,,4,0,1
2025-11-18,6716,應廣,96.0,122,"4,801,038",49.50,50.40,49.00,49.00,,18,0,0
2025-11-17,6716,應廣,78.0,119,"4,020,544",52.10,52.10,50.40,50.80,,3,0,0
2025-11-14,6716,應廣,56.0,71,"2,998,850",51.80,54.00,51.80,52.10,,11,0,0
2025-11-13,6716,應廣,83.0,85,"4,429,222",54.00,54.00,52.10,52.50,,6,0,0
2025-11-12,6716,應廣,51.0,72,"2,791,741",54.10,54.50,53.60,54.30,,16,0,0
2025-11-11,6716,應廣,80.0,61,"4,373,309",54.20,55.40,54.10,54.40,,5,0,0
